Year,Actual,Local_Newton_Forward,Local_Newton_Backward,Local_Lagrange,Local_Poly_Regression
1950,-0.2529487609863281,91588.49317380784,-213066.78410503268,1933312.0,94.42886130015836
1951,0.11003678292036057,52282.66698360443,-132278.58326101303,1572864.0,70.86749734111051
1952,0.20127393305301666,28378.472758755084,-79513.75270192324,1900544.0,51.940845850556634
1953,0.2476588487625122,14496.10842356086,-46094.1127846539,1736704.0,37.00544779945266
1954,0.181867778301239,6871.642566561699,-25654.581351816654,1998848.0,25.46558169790768
1955,-0.4096754491329193,2963.6072777211666,-13643.23693266511,1572864.0,16.773263595183842
1956,0.37395185232162476,1129.0417061001062,-6899.710134193301,1998848.0,10.428247079696662
1957,-0.08544200658798218,362.2691148072481,-3305.185999199748,1114112.0,5.978023279014784
1958,-0.3208957612514496,89.69021001458168,-1497.3001081049442,1605632.0,3.0178208598600906
1959,0.03823090344667435,13.875520825386047,-643.2112013101578,1277952.0,1.1906060281076578
1960,0.23960678279399872,0.23960678279399872,-264.133098885417,1933312.0,0.18708252878577383
1961,-0.42013019323349,-0.42013019323349,-104.60869437456131,1507328.0,-0.2543083539240672
1962,-0.23725265264511108,-0.23725265264511108,-39.808799505233765,1900544.0,-0.34738779668716346
1963,-0.15993645787239075,-0.15993645787239075,-14.13861659169197,1703936.0,-0.258239437015606
1964,-0.12168483436107635,-0.12168483436107635,-4.434615418314934,1703936.0,-0.10520937326827848
1965,-0.21633084118366241,-0.21633084118366241,-3.8502155393362045,32768.0,-0.016683681283420362
1966,0.4054485261440277,0.4054485261440277,10.524872928857803,1081344.0,0.1576237743357565
1967,0.2008833885192871,0.2008833885192871,-9.836282014846802,-360448.0,0.0969793176867101
1968,-0.5110796093940735,-0.5110796093940735,4.825139954686165,-5505024.0,0.02951404529027
1969,0.4490082263946533,0.4490082263946533,-1.9089743718504906,1572864.0,-0.09531404884245852
1970,-0.14760278165340424,-0.14760278165340424,-0.8974863775074482,-4718592.0,0.048356623004807184
1971,-0.018902799114584923,-0.018902799114584923,4.081733023747802,3080192.0,0.046404571267393266
1972,-0.10014788061380386,-0.10014788061380386,-4.041100464761257,499712.0,-0.24481964523065441
1973,-0.26668086647987366,-0.26668086647987366,3.0714426040649414,524288.0,-0.057917099584144094
1974,0.18294338881969452,0.18294338881969452,-3.3702365905046463,196608.0,-0.038284082633939086
1975,-0.04323031008243561,-0.04323031008243561,2.3302092403173447,1572864.0,0.08688177429321053
1976,0.14854221045970917,0.14854221045970917,2.5154047459363937,-720896.0,0.061160575824253785
1977,-0.14317560195922852,-0.14317560195922852,-3.4112339466810226,-851968.0,-0.07780895760742484
1978,-0.04029769450426102,-0.04029769450426102,3.552740342915058,1222912.0,0.0519963093626101
1979,0.3799285292625427,0.3799285292625427,-0.2393275797367096,-163840.0,0.14408845787876007
1980,0.15581487119197845,0.15581487119197845,-3.6738427579402924,1933312.0,0.3397133478146951
1981,0.3878312408924103,0.3878312408924103,5.149050988256931,-147456.0,0.37978560309070986
1982,0.4824608266353607,0.4824608266353607,-3.375715706497431,671744.0,0.2899519381994277
1983,-0.00693567655980587,-0.00693567655980587,0.09827407263219357,-655360.0,0.28030710052033597
1984,0.31986114382743835,0.31986114382743835,2.6903679370880127,-3538944.0,0.14295853628752764
1985,0.12333661317825317,0.12333661317825317,-1.7052244991064072,1769472.0,0.08932945412761022
1986,-0.04347363859415054,-0.04347363859415054,2.998794324696064,-172032.0,0.12643447053997714
1987,0.21856571733951569,0.21856571733951569,-2.2153693586587906,-1671168.0,0.06629354114144305
